Hubai Rajmund Szilveszter,Developer
Kaiser László,Developer
Süveges Zoltán,Developer
Tóth Zalán,Developer
Delapouite,Traffic cone icon,https://game-icons.net/1x1/delapouite/traffic-cone.html,CC BY 3.0
Delapouite,Police car icon,https://game-icons.net/1x1/delapouite/police-car.html,CC BY 3.0
Delapouite,Water tank icon,https://game-icons.net/1x1/delapouite/water-tank.html,CC BY 3.0
sbed,Electric icon,https://game-icons.net/1x1/sbed/electric.html,CC BY 3.0
Kenney,Roguelike Modern City Pack,https://opengameart.org/content/roguelike-modern-city-pack,CC 0
David Harrington,Runner character,https://opengameart.org/content/runner-character,CC 0
yeet,Red Car,https://opengameart.org/content/red-car-0,CC 0
